
OVERALL TURBINE PERFORMANCE
============================================================
Blade-jet speed ratio     0.3965
Pitchline loading         2.7095
Total-Total PR            5.0254
Total-Static PR           5.5853
Energy Extraction           342.3555
Corrected Speed           32.5766
Flow function           0.9440

STAGE PERFORMANCE
====================================================================================================
Stage  Location     Alpha1    Alpha2     Beta2     Beta3    Alpha3      Phi       Psi    Reaction
    1       Hub      -2.16      78.08      68.85     -76.18     -40.91    0.3342    1.8800      0.3418
    1      Mean      -3.64      72.54      51.08     -64.35     -17.73    0.6975    1.5787      0.4161
    1       Tip      -5.18      80.09       2.60     -48.52      17.92    0.4902    0.9765      0.4588
    2       Hub     -61.68      73.68       1.93     -67.83     -14.29    0.4516    1.5441      0.3751
    2      Mean     -27.21      64.63      -6.62     -59.55       3.49    0.7023    1.1870      0.4236
    2       Tip      16.84      70.75     -48.49     -54.33      17.74    0.6426    0.8712      0.4865


Span station K = 19

  J       %dVm        Vx(m/s)      Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)    Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density(kg/m3)     mdot(kg/s)
 144    167.257      149.979         409.577        1.039       190893.4          615.1    0.3971    0.9087      703.78      150.762       29.739        3.703     1.07825    12.20311
 145    177.782      155.981         406.045        1.547       190175.0          614.5    0.4020    0.9067      702.72      156.699       28.030        3.639     1.07496    12.19625
 146    180.923      157.782         400.786        2.202       190505.5          614.9    0.3985    0.8975      701.27      158.471       26.571        3.685     1.07626    12.19835
 147    185.315      160.300         398.086        2.541       190590.8          615.0    0.4001    0.8942      700.76      160.949       25.583        3.577     1.07664    12.19112
 148    194.703      165.617         395.993        2.841       189692.8          614.2    0.4071    0.8956      700.19      166.245       24.398        3.592     1.07256    12.19207
 149    201.429      169.431         391.399        3.399       189376.6          614.0    0.4085    0.8904      698.91      170.039       22.999        3.666     1.07099    12.18915
 150    204.097      170.939         386.594        3.931       189619.3          614.2    0.4062    0.8827      697.59      171.544       21.766        3.778     1.07208    12.19194
 151    210.575      174.593         383.316        4.325       189337.9          614.0    0.4100    0.8805      696.96      175.198       20.497        3.849     1.07074    12.18903
 152    218.908      179.286         377.129        5.015       188834.9          613.7    0.4127    0.8742      695.30      179.899       18.588        4.022     1.06824    12.19112
 153    211.757      175.251         367.930        5.853       190115.2          615.3    0.3962    0.8513      692.57      175.865       16.926        4.176     1.07339    12.19041
 154    205.982      171.995         366.059        5.929       191353.6          616.2    0.3891    0.8446      692.33      172.608       16.756        4.213     1.07920    12.19175
 155    220.572      180.210         366.494        5.918       189541.1          614.5    0.4070    0.8554      692.80      180.838       15.538        4.243     1.07112    12.18836
 156    237.404      189.685         360.831        6.528       187120.3          612.2    0.4221    0.8581      690.90      190.333       13.167        4.418     1.06013    12.19373
 157    241.652      192.060         352.041        7.300       187272.5          612.5    0.4207    0.8455      688.68      192.729       10.935        4.602     1.06072    12.19469
 158    243.443      193.052         344.047        7.912       187576.8          612.8    0.4181    0.8325      686.60      193.739        8.851        4.727     1.06202    12.19640
 159    247.772      195.486         336.736        8.418       187462.0          612.7    0.4197    0.8231      684.76      196.182        6.872        4.809     1.06152    12.19850
 160    252.224      197.982         328.390        8.948       187018.8          612.4    0.4217    0.8128      682.51      198.693        4.640        4.922     1.05935    12.20128
 161    255.002      199.535         319.339        9.467       186949.7          612.5    0.4224    0.7998      680.18      200.260        2.233        5.010     1.05896    12.20582
