
OVERALL TURBINE PERFORMANCE
============================================================
Blade-jet speed ratio     0.3965
Pitchline loading         2.7099
Total-Total PR            5.0265
Total-Static PR           5.5864
Energy Extraction           342.3371
Corrected Speed           32.5765
Flow function           0.9440

STAGE PERFORMANCE
====================================================================================================
Stage  Location     Alpha1    Alpha2     Beta2     Beta3    Alpha3      Phi       Psi    Reaction
    1       Hub      -2.16      78.08      68.94     -76.15     -40.86    0.3337    1.8782      0.3418
    1      Mean      -3.64      72.54      51.08     -64.31     -17.72    0.6973    1.5795      0.4162
    1       Tip      -5.12      80.10       2.55     -49.32      16.49    0.4884    0.9920      0.4572
    2       Hub     -61.59      73.68       1.83     -67.81     -14.27    0.4511    1.5417      0.3747
    2      Mean     -27.45      64.62      -6.70     -59.55       3.50    0.7021    1.1862      0.4233
    2       Tip      17.03      70.70     -48.29     -54.35      17.69    0.6753    0.8694      0.4861


Span station K = 1

  J       %dVm        Vx(m/s)      Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)    Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density(kg/m3)     mdot(kg/s)
 152     58.952       89.638         212.021       -5.517       186121.6          639.5    0.3113    0.4730      668.70       89.899      -31.194       -4.097     1.01471     0.00000
 153     57.833       88.993         204.668       -5.527       186425.8          639.4    0.3091    0.4599      666.76       89.266      -32.470       -3.942     1.01649     0.00000
 154     58.072       89.131         197.895       -5.127       186854.7          639.0    0.3104    0.4491      664.88       89.401      -33.690       -3.554     1.01931     0.00000
 155     59.309       89.823         190.314       -4.883       186922.2          638.0    0.3142    0.4375      662.34       90.101      -35.492       -3.420     1.02105     0.00000
 156     57.643       88.885         182.612       -4.776       187250.3          637.6    0.3161    0.4247      660.31       89.159      -37.248       -3.355     1.02332     0.00000
 157     56.046       87.996         175.369       -4.816       187266.3          637.7    0.3193    0.4136      659.06       88.255      -38.681       -3.280     1.02325     0.00000
 158     53.986       86.728         167.018       -4.747       187091.6          637.1    0.3233    0.4016      657.11       87.090      -40.730       -2.529     1.02301     0.00000
 159     53.923       85.656         158.118       -4.247       187042.9          634.7    0.3314    0.3902      653.29       87.055      -44.335       -2.002     1.02612     0.00000
 160     52.033       84.509         151.177       -4.055       187330.1          631.9    0.3385    0.3813      649.49       85.986      -46.725       -1.675     1.03159     0.00000
 161     48.649       83.347         146.978       -4.011       187725.6          630.2    0.3426    0.3760      647.27       84.072      -47.437       -1.510     1.03612     0.00000
 162     47.972       83.298         144.442       -4.280       187804.2          629.2    0.3476    0.3745      646.09       83.689      -47.314       -2.165     1.03798     0.00000
 163     48.615       83.729         141.836       -4.488       187524.1          628.2    0.3538    0.3737      644.95       84.053      -47.583       -2.581     1.03792     0.00000
 164     51.201       85.240         138.779       -4.223       187256.3          627.2    0.3618    0.3731      643.92       85.515      -47.913       -2.557     1.03778     0.00000
 165     54.974       87.398         135.654       -4.128       186648.0          626.1    0.3706    0.3727      642.69       87.649      -48.223       -2.572     1.03609     0.00000
 166     59.632       90.048         132.472       -4.066       186228.5          625.2    0.3800    0.3724      641.69       90.284      -48.492       -2.557     1.03512     0.00000
