
OVERALL TURBINE PERFORMANCE
============================================================
Blade-jet speed ratio     0.3962
Pitchline loading         3.1527
Total-Total PR            4.9704
Total-Static PR           5.6019
Energy Extraction           402.6880
Corrected Speed           32.5748
Flow function           0.9511

STAGE PERFORMANCE
====================================================================================================
Stage  Location     Alpha1    Alpha2     Beta2     Beta3    Alpha3      Phi       Psi    Reaction
    1       Hub      -2.39      78.08     -77.04     -77.26     -38.20    0.3297    0.8282      0.3583
    1      Mean      -3.88      72.47      44.21     -66.36     -16.31    0.6261    1.6465      0.4253
    1       Tip      -5.43      79.36     -83.12     -51.26      24.16    0.4688    0.3283      0.4669
    2       Hub     -53.89      73.33      -1.64     -69.73     -22.59    0.4447    1.3810      0.3991
    2      Mean     -20.04      64.32     -10.53     -59.85      -0.63    0.6939    1.1643      0.4588
    2       Tip      26.36      70.09     -50.76     -55.34      12.40    0.6493    0.8302      0.5255


Span station K = 37

  J       %dVm        Vx(m/s)      Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)    Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density(kg/m3)     mdot(kg/s)
 133    -36.446       18.731         291.823        0.319       218102.1          617.1    0.1789    0.6071      658.06       33.456       -1.498        3.345     1.23181     0.00000
 134    -34.316       21.298         292.537        0.631       217955.1          617.3    0.1818    0.6087      658.64       34.577       -2.677        4.312     1.23043     0.00000
 135    -32.559       23.467         293.069        0.992       217772.3          617.7    0.1843    0.6097      659.19       35.502       -4.137        4.815     1.22876     0.00000
 136    -29.763       25.915         293.330        1.249       217594.6          618.1    0.1875    0.6103      659.82       36.975       -6.103        5.073     1.22689     0.00000
 137    -27.426       28.112         293.268        1.405       217373.4          618.6    0.1900    0.6103      660.39       38.205       -7.141        4.990     1.22466     0.00000
 138    -26.015       29.785         293.055        1.588       217208.1          619.3    0.1917    0.6096      661.02       38.947       -7.573        4.291     1.22251     0.00000
 139    -23.782       31.839         292.801        1.542       217023.6          619.9    0.1939    0.6090      661.69       40.123       -7.788        3.932     1.22022     0.00000
 140    -20.847       34.172         292.380        1.924       216748.9          620.5    0.1962    0.6085      662.27       41.668       -8.022        3.230     1.21754     0.00000
 141    -19.343       35.662         291.879        2.674       216540.7          621.2    0.1970    0.6073      662.86       42.460       -8.117        3.837     1.21505     0.00000
 142    -18.406       36.942         291.356        2.814       216426.8          622.0    0.1975    0.6060      663.52       42.953       -8.122        3.547     1.21296     0.00000
 143    -16.871       38.382         290.812        2.610       216234.0          622.7    0.1984    0.6049      664.11       43.761       -8.098        3.553     1.21057     0.00000
 144    -15.540       39.655         290.087        2.636       216049.9          623.4    0.1993    0.6033      664.69       44.462       -8.183        3.589     1.20818     0.00000
 145    -14.391       40.750         289.301        2.634       215869.0          624.1    0.1999    0.6016      665.24       45.067       -8.341        3.849     1.20581     0.00000
 146    -12.770       42.067         288.603        2.512       215720.7          624.8    0.2007    0.6002      665.83       45.920       -8.535        3.690     1.20361     0.00000
 147    -11.407       43.207         287.892        2.416       215513.8          625.5    0.2014    0.5987      666.36       46.637       -8.777        3.167     1.20119     0.00000
 148     -9.808       44.327         287.095        2.208       215387.9          626.2    0.2022    0.5970      666.90       47.479       -9.126        3.040     1.19917     0.00000
 149     -7.390       45.793         286.312        1.993       215170.7          626.7    0.2038    0.5955      667.33       48.753       -9.574        2.567     1.19688     0.00000
 150     -4.886       47.296         285.651        1.785       215011.9          627.3    0.2053    0.5942      667.82       50.071       -9.994        2.512     1.19488     0.00000
 151     -1.546       49.073         284.958        1.577       214794.3          627.8    0.2075    0.5930      668.23       51.829      -10.490        3.167     1.19271     0.00000
 152      2.545       51.144         284.227        1.552       214588.0          628.3    0.2102    0.5918      668.65       53.982      -11.029        2.014     1.19060     0.00000
 153      6.517       53.258         283.752        1.349       214346.2          628.8    0.2130    0.5911      669.10       56.073      -11.479        1.664     1.18839     0.00000
 154     11.961       56.163         283.250        0.850       214125.9          629.2    0.2173    0.5908      669.56       58.939      -12.037        1.139     1.18636     0.00000
 155     18.218       59.502         282.602        0.560       213693.4          629.4    0.2226    0.5905      669.82       62.233      -12.666        0.815     1.18354     0.00000
 156     24.994       63.181         282.168        0.305       213367.1          629.7    0.2286    0.5909      670.24       65.800      -13.120        0.477     1.18119     0.00000
 157     33.564       67.858         281.970        0.321       212798.4          629.8    0.2365    0.5924      670.63       70.312      -13.418        0.373     1.17787     0.00000
 158     42.206       72.545         281.994        0.374       212202.5          629.8    0.2449    0.5945      671.06       74.861      -13.581        0.303     1.17447     0.00000
 159     52.737       78.235         282.313        0.189       211514.4          629.8    0.2554    0.5981      671.67       80.405      -13.565        0.086     1.17063     0.00000
 160     63.802       84.204         282.961        0.235       210529.3          629.6    0.2668    0.6028      672.23       86.230      -13.352        0.011     1.16556     0.00000
 161     76.454       91.003         284.054        0.262       209557.0          629.4    0.2801    0.6092      673.04       92.890      -12.971       -0.082     1.16056     0.00000
 162     90.823       98.708         285.681        0.589       208117.2          628.9    0.2956    0.6177      673.83      100.454      -12.408       -0.001     1.15358     0.00000
 163    105.792      106.722         287.818        1.278       206639.2          628.3    0.3122    0.6278      674.87      108.334      -11.707        0.196     1.14641     0.00000
 164    123.064      115.918         290.539        2.073       204688.1          627.3    0.3316    0.6405      675.94      117.427      -10.930        0.402     1.13732     0.00000
