
OVERALL TURBINE PERFORMANCE
============================================================
Blade-jet speed ratio     0.3962
Pitchline loading         3.1518
Total-Total PR            4.9700
Total-Static PR           5.6018
Energy Extraction           402.9360
Corrected Speed           32.5748
Flow function           0.9511

STAGE PERFORMANCE
====================================================================================================
Stage  Location     Alpha1    Alpha2     Beta2     Beta3    Alpha3      Phi       Psi    Reaction
    1       Hub      -2.40      78.08     -77.04     -77.27     -38.18    0.3297    0.8278      0.3582
    1      Mean      -3.88      72.47      44.21     -66.37     -16.29    0.6261    1.6469      0.4251
    1       Tip      -5.37      79.36     -83.19     -51.18      24.51    0.4686    0.3194      0.4672
    2       Hub     -53.87      73.33      -1.63     -69.74     -22.60    0.4450    1.3817      0.3989
    2      Mean     -20.02      64.32     -10.53     -59.84      -0.63    0.6937    1.1643      0.4587
    2       Tip      26.59      70.12     -50.75     -55.43      12.31    0.6834    0.8364      0.5251


Span station K = 19

  J       %dVm        Vx(m/s)      Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)    Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density(kg/m3)     mdot(kg/s)
 142    144.253      128.370         387.168        2.112       203601.5          587.0    0.3462    0.8702      662.93      128.920       27.250        2.909     1.21433             12.444
 143    151.781      132.397         386.672        2.234       202754.0          585.9    0.3531    0.8733      662.06      132.894       26.629        2.713     1.21160             12.441
 144    160.819      137.204         386.156        2.360       202093.4          585.7    0.3606    0.8760      662.30      137.664       25.827        2.623     1.20757             12.450
 145    169.181      141.641         383.847        2.688       201377.0          585.4    0.3648    0.8748      661.73      142.077       24.626        2.687     1.20267             12.449
 146    172.490      143.394         380.286        3.146       201342.3          584.6    0.3633    0.8695      659.86      143.824       23.572        2.821     1.20480             12.459
 147    176.864      145.718         378.569        3.375       201203.6          584.0    0.3659    0.8686      659.03      146.133       22.910        2.819     1.20566             12.456
 148    184.402      149.707         377.009        3.594       200345.5          583.5    0.3717    0.8697      658.58      150.111       21.975        2.860     1.20056             12.465
 149    189.708      152.510         373.623        3.998       200002.5          583.1    0.3728    0.8658      657.38      152.912       20.804        2.983     1.19901             12.469
 150    192.815      154.146         370.134        4.392       199837.6          582.4    0.3723    0.8612      655.72      154.552       19.762        3.122     1.20002             12.480
 151    198.206      156.984         367.623        4.692       199483.2          582.2    0.3758    0.8597      655.19      157.397       18.720        3.217     1.19781             12.483
 152    204.602      160.346         362.819        5.222       198950.7          582.1    0.3777    0.8534      654.03      160.773       16.985        3.398     1.19341             12.493
 153    200.463      158.147         356.075        5.818       199532.2          580.8    0.3668    0.8385      650.07      158.589       15.469        3.606     1.20138             12.499
 154    197.639      156.655         354.461        5.879       200076.0          579.8    0.3632    0.8359      648.55      157.098       15.429        3.657     1.20880             12.508
 155    209.306      162.797         354.169        5.939       198680.7          580.0    0.3776    0.8427      649.77      163.256       14.278        3.696     1.19759             12.512
 156    221.590      169.256         349.299        6.454       196806.1          579.0    0.3882    0.8418      648.49      169.740       12.064        3.881     1.18565             12.527
 157    225.587      171.339         342.482        7.052       196754.9          578.7    0.3877    0.8314      646.47      171.849        9.997        4.087     1.18614             12.536
 158    228.876      173.052         336.077        7.549       196449.4          578.0    0.3880    0.8222      644.15      173.585        8.030        4.232     1.18568             12.548
 159    232.998      175.210         329.952        7.977       196156.5          577.6    0.3900    0.8141      642.29      175.761        6.166        4.346     1.18469             12.558
 160    236.983      177.292         322.976        8.421       195561.1          576.8    0.3922    0.8049      639.89      177.864        4.042        4.485     1.18207             12.571
 161    239.794      178.753         315.429        8.850       195258.7          576.2    0.3934    0.7938      637.42      179.348        1.760        4.605     1.18138             12.585
 162    242.815      180.335         307.362        9.227       194842.1          575.5    0.3956    0.7820      634.74      180.943       -0.622        4.673     1.18016             12.598
 163    244.087      180.997         298.882        9.543       194338.9          574.4    0.3966    0.7689      631.50      181.614       -3.093        4.729     1.17923             12.614
 164    247.765      182.936         290.532        9.791       193892.2          573.8    0.4014    0.7576      629.05      183.555       -5.519        4.737     1.17783             12.629
 165    252.095      185.224         280.600       10.013       192639.0          572.3    0.4085    0.7452      625.56      185.840       -8.301        4.730     1.17203             12.644
 166    254.155      186.316         269.924       10.153       191706.6          570.9    0.4140    0.7301      621.83      186.928      -11.179        4.709     1.16888             12.663
 167    255.544      187.059         258.835       10.214       190684.8          569.5    0.4203    0.7141      617.97      187.661      -14.129        4.660     1.16511             12.681
 168    255.835      187.233         247.065       10.186       189470.9          567.8    0.4271    0.6965      613.75      187.815      -17.227        4.560     1.16051             12.702
 169    255.666      187.176         235.443       10.020       188330.2          566.3    0.4348    0.6790      609.71      187.725      -20.179        4.410     1.15642             12.720
 170    254.821      186.766         223.570        9.747       186847.8          564.3    0.4436    0.6613      605.32      187.279      -23.149        4.239     1.15057             12.742
