Span station K = 1

J    %dVm      Vx(m/s)     Vtheta(m/s)   Vr(m/s)      Pstat(Pa)    Mrel      T0(K)      Vm(m/s)     Swirl(deg)  Pitch(deg)  Density
 229    -24.931       73.569         -11.137        1.485       121577.3    0.6270      579.89       73.592      -75.028        1.601     0.73501
 230    -33.096       59.596         -14.035        3.075       121505.0    0.6327      578.30       65.587      -76.536        8.547     0.73664
 231    -23.313       39.249         -19.309        3.481       121166.8    0.6483      576.53       75.178      -74.817        5.980     0.73789
 232    -10.683       23.455         -25.833        1.230       120619.0    0.6686      576.02       87.559      -72.845        1.982     0.73692
 233     -7.472       18.274         -28.650       -0.468       120365.9    0.6769      575.68       90.707      -72.377        0.281     0.73665
 234    -10.109       19.457         -29.671       -1.047       120276.3    0.6788      574.98       88.122      -72.779       -0.242     0.73721
 235    -15.283       23.892         -31.001       -1.562       120382.5    0.6802      574.64       83.050      -73.584       -1.928     0.73837
 236    -20.974       30.137         -33.213       -2.362       120375.8    0.6837      574.32       77.471      -74.492       -4.942     0.73893
 237    -27.299       39.116         -35.837       -3.621       120428.9    0.6883      574.20       71.270      -75.494      -10.288     0.73970
 238    -28.169       49.317         -26.731       -3.334       119997.2    0.6693      572.76       70.417      -75.607       -7.819     0.73791
 239    -30.035       53.928         -13.257       -3.176       120516.7    0.6389      573.07       68.588      -75.899       -4.417     0.74010
 240    -31.266       60.506          -8.260       -2.776       120450.9    0.6275      573.46       67.381      -76.280       -5.863     0.73947
 241    -28.251       68.305          -8.147       -2.673       119867.1    0.6287      573.59       70.337      -75.885       -7.690     0.73604
 242    -24.113       73.944          -7.052       -2.352       119505.3    0.6275      573.85       74.393      -75.085       -6.592     0.73379
 243    -19.535       78.729          -6.347       -2.083       119108.7    0.6278      573.77       78.881      -74.164       -3.237     0.73180
 244    -16.451       81.777          -5.279       -2.065       118969.6    0.6266      573.89       81.904      -73.509       -2.533     0.73098
 245    -12.436       85.750          -4.193       -1.893       118682.9    0.6263      573.89       85.840      -72.667       -1.889     0.72955
 246     -9.553       88.581          -3.452       -2.117       118453.4    0.6261      573.84       88.667      -72.065       -1.834     0.72838
 247     -6.908       91.194          -2.698       -1.853       118311.8    0.6258      573.81       91.259      -71.506       -1.460     0.72769
 248     -3.556       94.492          -2.239       -1.632       118037.5    0.6270      573.74       94.545      -70.853       -1.213     0.72635
 249     -0.599       97.396          -2.174       -1.893       117774.3    0.6287      573.66       97.445      -70.315       -1.277     0.72509
 250      2.437      100.377          -1.637       -1.804       117557.3    0.6296      573.63      100.421      -69.772       -1.168     0.72401
 251      4.773      102.674          -0.496       -1.669       117354.8    0.6289      573.50      102.710      -69.302       -1.040     0.72306
 252      7.275      105.132          -0.373       -1.640       117164.8    0.6305      573.48      105.163      -68.874       -0.977     0.72215
 253      9.917      107.726           0.059       -1.515       116877.9    0.6317      573.36      107.753      -68.464       -0.893     0.72074
 254     11.706      109.484           1.170       -1.434       116724.5    0.6310      573.28      109.508      -68.128       -0.830     0.72001
