Span station K = 19

J          %dVm         Vx(m/s)     Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)   Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density
 186    227.733      184.791          14.975        2.275       144557.1          581.9    0.7243    0.4362      600.79      184.882      -56.551        0.939     0.86131
 187    224.732      183.098           8.033        1.946       142722.1          580.7    0.7350    0.4286      598.96      183.188      -57.497        0.775     0.85290
 188    222.578      181.880           1.039        1.560       140688.7          579.3    0.7468    0.4232      597.04      181.973      -58.360        0.589     0.84353
 189    221.038      181.010          -5.511        1.329       138583.5          577.7    0.7585    0.4199      595.21      181.105      -59.120        0.477     0.83374
 190    219.984      180.415         -11.249        1.124       136622.5          576.4    0.7691    0.4179      593.68      180.510      -59.749        0.366     0.82452
 191    219.035      179.878         -15.854        0.834       134900.9          575.3    0.7777    0.4170      592.47      179.975      -60.256        0.213     0.81630
 192    217.216      178.854         -19.185        0.554       133474.8          574.4    0.7835    0.4159      591.52      178.949      -60.721        0.081     0.80937
 193    214.932      177.556         -21.844        0.033       132385.2          573.9    0.7875    0.4148      590.86      177.660      -61.177       -0.199     0.80393
 194    213.014      176.451         -24.134       -0.528       131426.2          573.4    0.7911    0.4143      590.38      176.578      -61.570       -0.517     0.79905
 195    211.200      175.421         -25.387       -0.821       130590.4          573.1    0.7928    0.4147      590.14      175.555      -61.880       -0.662     0.79462
 196    208.301      173.783         -25.688       -0.995       129966.2          573.0    0.7920    0.4140      589.98      173.919      -62.191       -0.707     0.79114
 197    206.611      172.827         -26.135       -1.081       129787.1          573.3    0.7918    0.4134      590.17      172.966      -62.354       -0.686     0.78979
 198    203.951      171.328         -26.166       -1.104       129297.0          573.2    0.7904    0.4114      589.90      171.465      -62.610       -0.663     0.78709
 199    202.231      170.359         -25.815       -1.038       129300.0          573.5    0.7885    0.4100      590.14      170.495      -62.684       -0.610     0.78663
 200    198.833      168.440         -24.955       -0.808       129019.4          573.7    0.7846    0.4058      590.03      168.578      -62.920       -0.511     0.78473
 201    198.786      168.414         -26.511       -0.321       129739.0          574.4    0.7868    0.4018      590.33      168.552      -62.944       -0.204     0.78816
 202    193.874      165.614         -24.801        0.359       130042.1          575.1    0.7802    0.3917      590.33      165.781      -63.243        0.473     0.78907
 203    171.535      152.806         -12.783        1.880       131972.3          579.1    0.7434    0.3749      593.14      153.179      -64.210        2.003     0.79517
 204    146.747      138.446           6.581        3.655       135075.6          584.8    0.6915    0.3743      598.78      139.195      -64.901        4.110     0.80538
 205    129.880      128.746          16.388        4.636       137797.8          588.6    0.6622    0.3713      602.42      129.680      -65.846        4.909     0.81558
 206    138.075      133.408           8.621        4.820       138267.2          588.1    0.6801    0.3615      601.22      134.303      -65.233        3.779     0.81880
 207    150.255      140.000          -2.226        5.744       136367.5          585.3    0.7067    0.3516      597.65      141.175      -64.768        3.601     0.81192
 208    157.814      143.677         -10.758        7.854       135671.3          584.0    0.7266    0.3452      595.90      145.439      -64.742        4.229     0.80974
 209    168.078      148.630         -18.203       11.449       134125.7          581.8    0.7464    0.3474      593.80      151.229      -64.368        5.167     0.80368
 210    176.637      152.132         -25.866       16.491       133033.2          580.0    0.7660    0.3512      592.16      156.057      -64.239        6.544     0.79973
 211    186.978      156.143         -33.220       23.093       131780.3          577.7    0.7864    0.3607      590.45      161.891      -63.942        8.188     0.79530
 212    197.089      159.541         -38.525       30.376       130922.9          575.9    0.8028    0.3720      589.32      167.595      -63.534        9.853     0.79261
 213    205.821      162.347         -40.832       36.804       130319.8          574.7    0.8125    0.3818      588.82      172.521      -63.039       11.244     0.79049
 214    209.782      163.740         -40.386       39.947       130048.3          574.8    0.8136    0.3853      589.13      174.755      -62.712       12.077     0.78871
 215    208.198      163.822         -38.076       38.718       129837.5          575.5    0.8076    0.3819      589.55      173.861      -62.661       12.062     0.78650
 216    208.291      164.396         -36.551       37.854       129994.4          576.2    0.8043    0.3813      590.22      173.914      -62.534       11.766     0.78643
 217    199.455      168.875         -54.536        4.288       132175.9          570.7    0.8371    0.3799      584.44      168.929      -64.412        1.454     0.80694
 218    200.053      169.242         -54.503       -2.855       132160.1          570.6    0.8374    0.3806      584.31      169.266      -64.366       -0.966     0.80709
 219    181.780      158.895         -55.318       -4.110       133431.4          571.7    0.8291    0.3601      584.13      158.958      -65.805       -1.513     0.81314
 220    177.758      156.615         -56.279       -4.406       133715.1          571.7    0.8291    0.3563      583.88      156.690      -66.169       -1.652     0.81487
